final_canonical,dominant_category,total_count,n_raw_variants,n_required,n_preferred,sample_variants
mô hình định giá,Domain Knowledge,2,2,0,2,hệ thống định giá|mô hình định giá
xml views,Framework / Library,2,2,2,0,XML Views|XML views
certifications in quality assurance,Other,2,2,0,2,certifications in quality assurance|certifications in quality management
virtual server,Infrastructure & DevOps,2,2,2,0,Virtual Server|Server Virtualization
quy trình vận hành bệnh viện,Domain Knowledge,2,2,2,0,quy trình hoạt động trong bệnh viện|quy trình vận hành bệnh viện
bệnh viện,Domain Knowledge,2,2,0,2,y tế/bệnh viện|Bệnh Viện
hệ thống công nghệ trong lĩnh vực tài chính – ngân hàng,Domain Knowledge,2,2,2,0,Hệ thống công nghệ trong lĩnh vực tài chính – ngân hàng|hệ thống Công nghệ thông tin tại ngân hàng/Công ty tài chính
core net,Framework / Library,2,2,2,0,core .NET|.NET Core 8
cntt attt,Infrastructure & DevOps,2,2,2,0,vận hành ATTT|CNTT/ATTT
thiết kế ui ux web mobile app,Design & UX,2,2,1,1,thiết kế UI UX Web/Mobile App|thiết kế UI/UX mobile application
nắm bắt vấn đề,Soft Skill,2,2,2,0,nắm bắt vấn đề|tháo gỡ vấn đề
docker container,Infrastructure & DevOps,2,2,1,1,Docker containerization|Docker container
dịch vụ ngân hàng,Domain Knowledge,2,2,0,2,dịch vụ ngân hàng số|dịch vụ ngân hàng
tư vấn dịch vụ,Domain Knowledge,2,2,1,1,dịch vụ tư vấn doanh nghiệp|tư vấn dịch vụ
nhận dạng văn bản,AI/ML/Data,2,2,2,0,phát hiện văn bản|nhận dạng văn bản
automated unit testing,Testing & QA,2,2,2,0,automated unit testing (AUT)|Automated unit testing
thị trường nhật,Domain Knowledge,2,2,1,1,thị trường Nhật Bản|kinh nghiệm thị trường Nhật
single page application,Engineering Concepts & Methodologies,2,2,2,0,Single Page Application|single-page applications
ui canvas,Framework / Library,2,2,2,0,UI Canvas|Canvas drawing
leading distributed teams,Soft Skill,2,2,1,1,working in distributed teams|leading distributed teams
mobile application projects,Domain Knowledge,2,2,2,0,mobile application projects|quản lý dự án phần mềm/mobile app
event system,Framework / Library,2,2,2,0,Event System|event system
layoutlm,Design & UX,2,2,2,0,tối ưu layout|LayoutLM
software estimation,Engineering Concepts & Methodologies,2,2,2,0,software estimation|software development estimation
compression,AI/ML/Data,2,2,1,1,Model compression|Compression
muilti apn,Domain Knowledge,2,2,0,2,cốt truyện Kim Dung|Muilti APN
jetson nvidia,Embedded & Firmware,2,2,1,1,Jetson Nvidia|NVIDIA Jetson
ai system development,AI/ML/Data,2,2,2,0,AI system development|AI system architecture
android system,Tool & Platform,2,2,2,0,Android system|Android platform
arize phoenix,Infrastructure & DevOps,2,1,2,0,Arize Phoenix
đánh giá attt,Domain Knowledge,2,1,1,1,đánh giá ATTT
coding skills,Programming Language,2,2,1,1,coding skills|Software coding skills
healthtech,Domain Knowledge,2,2,0,2,Healthtech|health tech
computer knowledge,Tool & Platform,2,2,2,0,Computer knowledge|kiến thức cơ bản về máy tính
hệ thống quản lý văn bản điều hành,Tool & Platform,2,1,2,0,Hệ thống quản lý văn bản điều hành
tư duy tổng quan,Domain Knowledge,2,2,2,0,Thông tư - Nghị định|tư duy tổng quan
kiến trúc hệ thống tích hợp,Engineering Concepts & Methodologies,2,2,2,0,kiến trúc hệ thống tích hợp|kiến trúc tích hợp hệ thống
documentation writing,Engineering Concepts & Methodologies,2,2,2,0,writing documentation|documentation writing
analyze information,Soft Skill,2,2,2,0,analyze information|analyze and evaluate information
management accounting,Domain Knowledge,2,2,1,1,Management Accounting|Quản lý kế toán
đánh giá lỗ hổng bảo mật,Infrastructure & DevOps,2,2,2,0,phân tích và phản ứng lỗ hổng bảo mật|đánh giá lỗ hổng bảo mật
xây dựng chính sách,Engineering Concepts & Methodologies,2,2,1,1,xây dựng các thủ tục chính sách|xây dựng chính sách
scripting languages,Programming Language,2,2,2,0,programming/scripting languages|scripting languages
contract testing,Testing & QA,2,2,2,0,contract-based testing|contract testing
application life cycle management,Tool & Platform,2,2,2,0,Application Life Cycle Management|Application Life Cycle Management tool
system integration testing,Testing & QA,2,2,2,0,system integration testing|System Integration Test Automation
non functional requirements,Engineering Concepts & Methodologies,2,2,2,0,non‑functional requirements|Non-Functional Requirements
wi fi testing,Testing & QA,2,2,2,0,testing Wi-Fi APs|Wi-Fi testing
content platforms,Engineering Concepts & Methodologies,2,2,0,2,Content Providers|content platforms
software analysis,Engineering Concepts & Methodologies,2,2,2,0,software analysis|embedded software analysis
thạo đường phố hà nội,Domain Knowledge,2,2,1,1,Thạo đường phố Hà Nội|điện trang trí đường phố
review source code,Testing & QA,2,2,2,0,source code review|review source code
ai evals,AI/ML/Data,2,2,2,0,AI evals|Figma AI
automating ios mobile apps,Testing & QA,2,2,2,0,automating iOS mobile apps|automating Android mobile apps
deepeval,AI/ML/Data,2,1,0,2,DeepEval
generative models,AI/ML/Data,2,2,0,2,generative models|Generative AI models
trading apis,Domain Knowledge,2,2,0,2,trading systems|trading APIs
data tiering,Engineering Concepts & Methodologies,2,1,2,0,Data Tiering
phối hợp đa phòng ban,Soft Skill,2,2,2,0,điều phối đa phòng ban|phối hợp đa phòng ban
presale engineer,Domain Knowledge,2,2,1,1,Presale Engineer|Presales Engineer
restful services,Engineering Concepts & Methodologies,2,2,1,1,RESTful services|RESTful APIs/services
digital asset management,Domain Knowledge,2,2,1,1,Digital Asset Management (DAM)|digital asset management
distributed computing,Engineering Concepts & Methodologies,2,2,2,0,distributed architectures|distributed computing
message queuing,Infrastructure & DevOps,2,2,1,1,message queuing systems|message queuing
babylonjs,Framework / Library,2,2,1,1,Babylon.js|BabylonJS
sequence diagram,Engineering Concepts & Methodologies,2,2,2,0,sequence diagram|sequence diagrams
qa process,Testing & QA,2,2,2,0,QA Process|QA processes
compiler,Tool & Platform,2,1,2,0,Compiler
lauterbach,Embedded & Firmware,2,1,2,0,Lauterbach
testing lifecycle,Testing & QA,2,2,2,0,testing life cycle|testing lifecycle
nextgen firewall,Infrastructure & DevOps,2,2,2,0,Nextgen firewall|next-generation firewall
cơ sở hạ tầng mạng an toàn,Infrastructure & DevOps,2,2,2,0,cơ sở hạ tầng mạng an toàn|an toàn thông tin hạ tầng CNTT
làm sản phẩm nội bộ,Domain Knowledge,2,2,1,1,làm trong môi trường product|làm sản phẩm nội bộ
great expectations,Data Engineering & Analytics,2,1,0,2,Great Expectations
structured streaming,Data Engineering & Analytics,2,2,0,2,Streaming architectures|Structured Streaming
vận hành và quản lý máy chủ,Infrastructure & DevOps,2,2,2,0,"quản trị và vận hành các hệ thống máy chủ, lưu trữ|vận hành và quản lý máy chủ"
leading it projects,Soft Skill,2,2,2,0,Lead dự án|leading IT projects
geometry,Domain Knowledge,2,1,0,2,geometry
process optimization,Engineering Concepts & Methodologies,2,2,1,1,Process Mapping & Optimization|process optimization
streamlit,Framework / Library,2,1,2,0,Streamlit
production monitoring tools,Infrastructure & DevOps,2,2,1,1,production-grade monitoring solutions|production monitoring tools
retraining,Infrastructure & DevOps,2,2,2,0,automated retraining|retraining
insurance domain,Domain Knowledge,2,2,1,1,insurance domain fundamentals|Insurance domain
process maps,Engineering Concepts & Methodologies,2,2,2,0,process mapping|Process Maps
postgree,Database,2,2,2,0,Postgree|Postgress
document management,Domain Knowledge,2,2,1,1,document management technology|document management
thiết kế kết cấu cơ khí,Domain Knowledge,2,2,2,0,Thiết kế chi tiết cơ khí|Thiết kế kết cấu cơ khí
monitoring and observability tools,Infrastructure & DevOps,2,2,0,2,observability and monitoring tools|monitoring and observability tools
tối ưu hóa truy vấn,Engineering Concepts & Methodologies,2,2,2,0,Tối ưu câu lệnh truy vấn|tối ưu hóa truy vấn
red hat openstack,Infrastructure & DevOps,2,1,1,1,Red Hat OpenStack
enterprise service bus (esb),Infrastructure & DevOps,2,2,1,1,Enterprise service bus (ESB)|Enterprise Service Bus (ESB)
asset 3d,Design & UX,2,2,1,1,asset 3D|3D asset processing
asset 2d,Design & UX,2,2,2,0,asset 2D|thiết kế asset 2D
workflow diagrams,Tool & Platform,2,2,1,1,công cụ vẽ Workflow|workflow diagrams
buildroot,Tool & Platform,2,1,1,1,Buildroot
chia sẻ thông tin,Soft Skill,2,2,2,0,trao đổi thông tin|chia sẻ thông tin
high availability database,Database,2,2,2,0,High Availability database|database high availability architecture
service discovery,Infrastructure & DevOps,2,2,2,0,service discovery|Service Discovery
"thiết kế, xây dựng server đám mây",Engineering Concepts & Methodologies,2,2,2,0,"thiết kế kiến trúc sản phẩm trên cloud|thiết kế, xây dựng server đám mây"
kubernetes networking,Infrastructure & DevOps,2,2,1,1,Kubernetes networking|networking trong Kubernetes
technology strategy,Engineering Concepts & Methodologies,2,2,2,0,defining technology strategy|technology strategy
managing technical teams,Soft Skill,2,2,2,0,managing technology teams|managing technical teams
work well in a team,Soft Skill,2,2,2,0,work well in the team|work well in a team
vmware cloud foundation,Infrastructure & DevOps,2,2,2,0,VMware Cloud Foundation (VCF)|VMware Cloud Foundation
cross platform,Engineering Concepts & Methodologies,2,2,2,0,cross-platform|Cross-platform
identity and access management,Domain Knowledge,2,2,1,1,Identity and Access Management|identity and access management
infrastructure management,Infrastructure & DevOps,2,2,2,0,IT infrastructure management|infrastructure management
toán - tin,Domain Knowledge,2,2,2,0,Toán - Tin|Toán – tin
agile practices,Engineering Concepts & Methodologies,2,2,2,0,agile principles|Agile Practices
thị trường việt nam,Domain Knowledge,2,2,0,2,thị trường Việt Nam|thị trường chứng khoán Việt Nam
internet routing,Infrastructure & DevOps,2,2,1,1,internet routing|Networking and routing
full stack programming,Other,2,2,2,0,full-stack programming|full-stack architecture
quản lý domain,Infrastructure & DevOps,2,2,1,1,quản lý domain|phân quyền quản trị domain
azure services,Infrastructure & DevOps,2,2,2,0,Azure Services|Azure AI Services
managing offshore delivery,Soft Skill,2,2,2,0,managing offshore delivery|offshore delivery management
code quality control practices,Engineering Concepts & Methodologies,2,2,2,0,kiểm soát chất lượng mã nguồn|code quality control practices
thiết kế landing page,Engineering Concepts & Methodologies,2,2,1,1,xây dựng Landing Page|thiết kế landing page
naviswork,Tool & Platform,2,2,2,0,Naviswork|Navis work
data retention,Engineering Concepts & Methodologies,2,1,2,0,Data Retention
mobile analytics,Domain Knowledge,2,2,2,0,mobile app analytics|Mobile Analytics
iot devices,Embedded & Firmware,2,1,1,1,thiết bị IoT
leading project teams,Soft Skill,2,2,1,1,leading development teams|leading project teams
smarthome,Domain Knowledge,2,2,1,1,smarthome|smart home
endpoint,Infrastructure & DevOps,2,2,1,1,Endpoint|tối ưu endpoint
model databases,Database,2,2,2,0,model databases|Database modeling
lập trình ai,AI/ML/Data,2,2,2,0,AI trong lập trình|Lập trình AI
web application firewall,Infrastructure & DevOps,2,2,2,0,Web Application/Data Base Firewall|web application firewall
testlink,Tool & Platform,2,1,2,0,TestLink
security governance,Domain Knowledge,2,2,2,0,Security Governance|security governance
enterprise grade security,Infrastructure & DevOps,2,2,2,0,enterprise-grade security|enterprise-grade security devices
ai applications in software testing,AI/ML/Data,2,2,2,0,AI-based development and testing tools|AI applications in software testing
digital forensic,IT Support & Hardware,2,2,0,2,Digital Forensics|Digital Forensic
văn hoá làm việc của người nhật,Domain Knowledge,2,2,1,1,"văn hoá làm việc của người Nhật|văn hoá, phong cách làm việc của người Nhật"
security tools,Infrastructure & DevOps,2,2,2,0,security tools|security tooling
device drivers,Embedded & Firmware,2,2,1,1,lập trình device driver|device drivers
bảo mật ngân hàng,Domain Knowledge,2,2,2,0,bảo mật trong ngành tài chính|Bảo mật Ngân hàng
ai assisted development workflows,AI/ML/Data,2,1,0,2,AI-assisted development workflows
technical communication,Soft Skill,2,2,2,0,technical communication|giao tiếp kỹ thuật
software development best practices,Engineering Concepts & Methodologies,2,2,2,0,best practices trong phát triển phần mềm|software development best practices
reusable components,Engineering Concepts & Methodologies,2,2,1,1,reusable components|reusable components/modules
multimodal pipelines,AI/ML/Data,2,2,2,0,multimodal pipelines|multimodal transformer pipelines
safe agilist,Other,2,2,0,2,SAFe Agilist (SA)|SAFe Agilist
accessibility (wcag),Design & UX,2,2,2,0,Web Accessibility (WCAG)|accessibility (WCAG)
c# asp net,Framework / Library,2,2,1,1,Asp.Net Framework|C# ASP.NET
async flow,Engineering Concepts & Methodologies,2,2,2,0,async flow|async flows
troubleshooting network issues,Infrastructure & DevOps,2,2,2,0,troubleshoot complex network issues|troubleshooting network issues
true nas,Infrastructure & DevOps,2,2,2,0,True NAS|xác thực
end to end,Engineering Concepts & Methodologies,2,1,1,1,end-to-end
vanillajs,Programming Language,2,2,2,0,Vanilla JS|VanillaJS
concurrency & multithreading,Engineering Concepts & Methodologies,2,2,2,0,multithreading/concurrency programming|Concurrency & multithreading
unix scripting,Programming Language,2,2,2,0,Unix/Linux scripting|UNIX scripting
ielts 6 0,Other,2,2,1,1,IELTS 6.5|IELTS 6.0
throttling,Engineering Concepts & Methodologies,2,1,0,2,throttling
db schema,Database,2,2,2,0,DB Schemas|DB schema
khách hàng chính phủ,Domain Knowledge,2,2,1,1,khách hàng chính phủ|làm việc với các khách hàng Chính phủ
container registry,Infrastructure & DevOps,2,2,0,2,container registries|Container Registry
game economy,Domain Knowledge,2,2,2,0,Game economy|economic trong game
cloud monitoring,Infrastructure & DevOps,2,2,1,1,cloud monitoring and observability|Cloud Monitoring
model evaluation & tuning,AI/ML/Data,2,2,2,0,Model tuning & evaluation|Model Evaluation & Tuning
supervision of a development team,Soft Skill,2,2,2,0,managing and leading a development team|supervision of a development team
chứng chỉ cmmi,Other,2,2,0,2,chứng chỉ CMMI|triển khai lấy chứng chỉ CMMI
css in js,Engineering Concepts & Methodologies,2,2,2,0,CSS in JS|CSS-in-JS
optimize application performance,Engineering Concepts & Methodologies,2,2,2,0,optimizing code for application performance|optimize application performance
crash monitoring,Infrastructure & DevOps,2,2,0,2,crash reporting tool|crash monitoring
gesture handler,Framework / Library,2,2,1,1,Gesture Handler|gesture handling
distributed lock,Engineering Concepts & Methodologies,2,2,2,0,distributed lock|distributed locks
function testing,Testing & QA,2,2,2,0,function testing|non function testing
spoken english,Soft Skill,2,2,1,1,Spoken English|Verbal English Communication
windows service,Tool & Platform,2,2,1,1,Windows Services|Windows Service
quản lý user,Tool & Platform,2,2,2,0,quản lý User/Service|quản lý user
linux bash,Tool & Platform,2,2,1,1,Linux Shell|Linux bash
non blocking io,Engineering Concepts & Methodologies,2,2,1,1,non-blocking I/O|Non-Blocking IO
autosar sw development,Embedded & Firmware,2,2,2,0,Autosar SW development|Classic AUTOSAR SWC development
sản phẩm trong ô tô,Domain Knowledge,2,2,0,2,sản phẩm trong ô tô|Sản phẩm trong ngành ô tô
thiết kế sản phẩm kỹ thuật số,Design & UX,2,2,2,0,thiết kế sản phẩm kỹ thuật số|thiết kế cho nền tảng kỹ thuật số
voice processing,AI/ML/Data,2,2,1,1,xử lý Voice|Voice Processing
sprint workflow,Engineering Concepts & Methodologies,2,2,2,0,làm việc theo sprint|sprint workflow
deploy ml models,Infrastructure & DevOps,2,2,2,0,deploy ML models|deploying ML models
pdf parsing,AI/ML/Data,2,1,0,2,PDF parsing
kinh doanh b2b,Domain Knowledge,2,2,2,0,mô hình kinh doanh TMĐT B2C/B2B|kinh doanh B2B
software testing life cycle (stlc),Testing & QA,2,2,2,0,Software Testing Life Cycle – STLC|Software Testing Life Cycle (STLC)
web admin,Tool & Platform,2,2,2,0,web admin|Website Admin
detectron,AI/ML/Data,2,2,1,1,Detectron2|Detectron
secure development,Engineering Concepts & Methodologies,2,2,2,0,secure development|secure development practices
no sql database,Database,2,2,0,2,non-SQL database|No SQL database
ci cd system,Infrastructure & DevOps,2,2,0,2,CI/CD platforms|CI/CD system
quy trình vận hành cntt,Engineering Concepts & Methodologies,2,2,2,0,triển khai quy trình CNTT|quy trình vận hành CNTT
offline sync,Engineering Concepts & Methodologies,2,2,1,1,offline data synchronization|offline sync
high performance computer,Infrastructure & DevOps,2,2,1,1,high performance computer|Máy chủ Tính tóan hiệu năng cao
cross cultural communication,Soft Skill,2,2,2,0,Cross-cultural communication|giao tiếp đa văn hóa
hybrid setups,Infrastructure & DevOps,2,2,2,0,hybrid setups|hybrid architecture
visualization tools,Data Engineering & Analytics,2,2,1,1,visualization tools|công cụ visualize
ci tools,Tool & Platform,2,2,2,0,CLI tools|CI tools
agentic ai development,AI/ML/Data,2,2,2,0,agentic AI development tools|agentic AI development
cổng thanh toán,Domain Knowledge,2,2,1,1,tích hợp cổng thanh toán|cổng thanh toán
libraries,AI/ML/Data,2,2,2,0,thư viện ML|libraries
mô hình affiliate,Domain Knowledge,2,2,1,1,mô hình Affiliate|hệ thống affiliate
virtual machines,Infrastructure & DevOps,2,2,2,0,Azure Virtual Machines|Virtual machines
openapi 3,Engineering Concepts & Methodologies,2,2,2,0,OpenAPI 3.0|OpenAPI 3
chứng chỉ quốc tế hpe,Other,2,2,0,2,chứng chỉ quốc tế HPE|chứng chỉ quốc tế Cisco
bảo hành bảo trì,Infrastructure & DevOps,2,2,2,0,vận hành và bảo trì|bảo hành bảo trì
thiết bị lưu trữ,IT Support & Hardware,2,1,2,0,thiết bị lưu trữ
hợp tác trong môi trường nhóm,Soft Skill,2,2,2,0,hợp tác trong môi trường nhóm|làm việc hiệu quả trong môi trường nhóm
internal controls,Domain Knowledge,2,2,2,0,kiểm soát nội bộ|internal controls
3 layer architecture,Engineering Concepts & Methodologies,2,2,2,0,Multi-layer architecture|3-Layer Architecture
cac,Data Engineering & Analytics,2,1,1,1,CAC
wazuh,Infrastructure & DevOps,2,1,1,1,Wazuh
thủ tục đầu tư,Domain Knowledge,2,2,2,0,thủ tục đầu tư|Lập tổng mức đầu tư
system implementation,Domain Knowledge,2,2,2,0,system implementation support|System Implementation
unity (3d),Tool & Platform,2,2,1,1,"Unity 2D, 3D|Unity (3D)"
quản lý mục tiêu,Soft Skill,2,2,2,0,Quản lý mục tiêu|quản trị mục tiêu
xây dựng luồng dữ liệu,Data Engineering & Analytics,2,2,1,1,xây dựng luồng dữ liệu|xây dựng luồng xử lý dữ liệu
sae 21434,Other,2,2,0,2,ISO/SAE 21434|SAE 21434
widget lifecycle,Engineering Concepts & Methodologies,2,2,2,0,widget lifecycle|Lifecycle của Widget
it project,Domain Knowledge,2,2,2,0,IT project|IT projects
enterprise architecture,Engineering Concepts & Methodologies,2,2,2,0,Enterprise architecture|Enterprise IT Architecture
image video processing,AI/ML/Data,2,2,1,1,Image/Video Processing|Video and image processing
biometric auth,AI/ML/Data,2,2,1,1,biometric technologies|biometric auth
recognition,AI/ML/Data,2,2,1,1,recognition systems|recognition
static analysis,Testing & QA,2,2,1,1,static analysis tools|static analysis
client server architecture,Engineering Concepts & Methodologies,2,2,2,0,Client-Server Application Architecture|client / server architecture
delivery management,Engineering Concepts & Methodologies,2,2,2,0,structured delivery management|delivery management
issue management,Engineering Concepts & Methodologies,2,1,2,0,issue management
migration,Engineering Concepts & Methodologies,2,1,1,1,migration
phân tích dữ liệu dự án,Engineering Concepts & Methodologies,2,2,2,0,phân tích yêu cầu dự án|phân tích dữ liệu dự án
thiết kế giải pháp hệ thống,Engineering Concepts & Methodologies,2,2,2,0,xử lý các giải pháp hệ thống|thiết kế giải pháp hệ thống
testing data pipelines,Testing & QA,2,2,2,0,kiểm thử Data Pipeline|testing data pipelines
quy trình quản trị phát triển phần mềm,Domain Knowledge,2,2,1,1,triển khai phần mềm lĩnh vực quản lý sản xuất|quy trình quản trị phát triển phần mềm
data warehouse testing,Testing & QA,2,2,2,0,kiểm thử Data Warehouse|Data Warehouse Testing
csv,Other,2,1,1,1,CSV
business architecture,Engineering Concepts & Methodologies,2,2,1,1,kiến trúc hệ thống doanh nghiệp|Business Architecture
kiểm thử mô hình,Testing & QA,2,2,2,0,kiểm thử mô hình|công cụ kiểm thử mô hình AI
khai thác lỗ hổng,Soft Skill,2,2,2,0,đào sâu gốc rễ vấn đề|khai thác lỗ hổng
promptfoo,AI/ML/Data,2,2,2,0,viết prompt|Promptfoo
capacity planning,Infrastructure & DevOps,2,1,1,1,capacity planning
framework backend,Framework / Library,2,2,1,1,framework backend|backend frameworks
build tools,Tool & Platform,2,1,2,0,build tools
hardhat,Framework / Library,2,2,2,0,Hardhat|hardhat
end to end solution,Engineering Concepts & Methodologies,2,2,2,0,luồng xử lý end-to-end|end to end solution
quản trị yêu cầu,Engineering Concepts & Methodologies,2,2,2,0,quản trị yêu cầu|quản lý và phân tích yêu cầu
tiêu chuẩn attt,Domain Knowledge,2,2,1,1,tiêu chuẩn ngành|tiêu chuẩn ATTT
functional component,Framework / Library,2,2,2,0,Functional Component|functional components
test trải nghiệm,Testing & QA,2,2,2,0,kiểm thử dựa trên kinh nghiệm|test trải nghiệm
kiểm thử thăm dò,Testing & QA,2,2,2,0,kiểm thử thăm dò|kiểm thử tính năng
cost estimation,Domain Knowledge,2,2,2,0,cost estimation|dự toán chi phí
jwt authentication,Engineering Concepts & Methodologies,2,2,2,0,authentication (JWT)|JWT authentication
xây dựng tài liệu kiểm thử,Testing & QA,2,2,2,0,xây dựng tài liệu kiểm thử|tổ chức sắp xếp các tài liệu kiểm thử
server side systems,Engineering Concepts & Methodologies,2,2,1,1,server-side systems|.NET Server-side technologies
app builder,Domain Knowledge,2,2,0,2,app studios|App Builder
app router,Framework / Library,2,2,1,1,App Router|App Routers
luật đầu tư,Domain Knowledge,2,2,2,0,Luật Đầu tư công|luật đầu tư
định mức chi phí phần mềm,Domain Knowledge,2,2,2,0,Định mức chi phí phần mềm|Phương pháp xác định giá phần mềm
lập dự toán,Domain Knowledge,2,2,2,0,lập dự toán|Viết thuyết minh dự toán
mã nguồn,Tool & Platform,2,2,2,0,xử lý mã nguồn|mã nguồn
cơ khí,Domain Knowledge,2,2,2,0,Cơ khí|cơ khí
omron,AI/ML/Data,2,1,2,0,Omron
database backup,Database,2,2,1,1,Backup restore Database|database backup
socket programming,Engineering Concepts & Methodologies,2,1,2,0,Socket Programming
tối ưu hệ thống backend,Engineering Concepts & Methodologies,2,2,1,1,tối ưu hiệu năng backend|tối ưu hệ thống backend
industrial iot,Domain Knowledge,2,2,2,0,IoT công nghiệp|Industrial IoT
ui skills,Design & UX,2,2,2,0,UI skills|BA overall skills
xử lý số liệu,Data Engineering & Analytics,2,2,2,0,quản lý số liệu|xử lý số liệu
manage and develop a team,Soft Skill,2,2,2,0,quản lý và phát triển team|manage and develop a team
firmware programming,Embedded & Firmware,2,2,2,0,lập trình nhúng (Embedded Firmware)|firmware programming
it policies,Engineering Concepts & Methodologies,2,2,2,0,IT policies & SOPs|IT policies
xây dựng đề xuất kỹ thuật,Soft Skill,2,2,1,1,Xây dựng proposal kỹ thuật|xây dựng đề xuất kỹ thuật
q&a,Soft Skill,2,1,2,0,Q&A
process qa,Domain Knowledge,2,2,1,1,quy trình HR|Process QA
agent skill,AI/ML/Data,2,2,2,0,Agent Skill|AI agent development
microsoft agent framework,Framework / Library,2,1,2,0,Microsoft Agent Framework
game engine,Tool & Platform,2,2,0,2,game engine|game engines
ai llm integration,AI/ML/Data,2,2,1,1,AI/LLM integration|LLM API integration
financial service cloud,Other,2,2,0,2,chứng chỉ Financial Service Cloud|Financial Service Cloud
google ai,Infrastructure & DevOps,2,2,2,0,Google AI|Google API
azure ai search,Database,2,1,2,0,Azure AI Search
zap,Tool & Platform,2,1,1,1,ZAP
veritas,Tool & Platform,2,1,0,2,Veritas
tư vấn giải pháp mạng,Soft Skill,2,2,1,1,tư vấn giải pháp mạng|quản trị giải pháp mạng
thiết kế giải pháp mạng,Infrastructure & DevOps,2,2,1,1,triển khai các giải pháp mảng Mạng|thiết kế giải pháp mạng
in app ai features,AI/ML/Data,2,2,0,2,In-app AI features|AI-enabled features
technical knowledge,Other,2,2,0,2,technical knowledge|Technical knowledge
certified scrum product owner (cspo),Other,2,2,0,2,Professional Scrum Product Owner (PSPO) certification|Certified Scrum Product Owner (CSPO)
custom plugin development,Engineering Concepts & Methodologies,2,2,2,0,tạo plugin|custom plugin development
sap gateway,Infrastructure & DevOps,2,1,1,1,SAP Gateway
tư duy có hệ thống,Soft Skill,2,2,2,0,Tư duy tổng quan và hệ thống|Tư duy có hệ thống
đánh giá vấn đề,Soft Skill,2,2,2,0,phát hiện vấn đề|đánh giá vấn đề
reporting tools,Data Engineering & Analytics,2,2,1,1,reporting tools|reporting skills
azure blob storage,Infrastructure & DevOps,2,2,1,1,Azure Storage Blobs|Azure Blob Storage
style thiết kế,Engineering Concepts & Methodologies,2,2,1,1,thiết kế luồng|style thiết kế
hypervisor,Infrastructure & DevOps,2,2,1,1,Hypervisor|Hypervisors
core securities,Domain Knowledge,2,2,1,1,Core chứng khoán|Core Securities
đa tác vụ,Soft Skill,2,2,2,0,đa tác vụ|xử lý đa nhiệm
sap integrations,Tool & Platform,2,2,1,1,SAP Integration Suite|SAP integrations
high performance computing,Infrastructure & DevOps,2,2,1,1,high-performance computing (HPC)|High-Performance Computing
enhancements,Engineering Concepts & Methodologies,2,1,2,0,Enhancements
đánh giá phần cứng thiết bị,IT Support & Hardware,2,2,1,1,đánh giá tình trạng phần cứng|đánh giá phần cứng thiết bị
fhir,Domain Knowledge,2,1,1,1,FHIR
a2a,AI/ML/Data,2,1,1,1,A2A
command line,Tool & Platform,2,2,2,0,Command Line|command-line tools
scorecard,AI/ML/Data,2,2,1,1,Scorecard|ScoreCard
sql script,Programming Language,2,2,1,1,SQL Script|SQL scripts
triggers,Database,2,2,2,0,triggers|Triggers
sales planning,AI/ML/Data,2,2,1,1,dự báo bán hàng|Sales Planning
sap analytics cloud,Tool & Platform,2,2,1,1,SAP Analytics Cloud|SAP Analytics Cloud (SAC)
môi trường startup,Domain Knowledge,2,2,0,2,kinh nghiệm làm việc trong môi trường startup|môi trường startup
banking security standards,Domain Knowledge,2,2,1,1,financial system security standards|banking security standards
chunking,AI/ML/Data,2,2,2,0,chunking|Chunking strategies
system level testing,Testing & QA,2,2,2,0,system-level testing|System-Level Test Strategy Development
banking testing,Domain Knowledge,2,2,0,2,Banking testing|Testing Payments Banking Systems
aes,Engineering Concepts & Methodologies,2,1,2,0,AES
report defects,Testing & QA,2,2,2,0,report defects|defect reporting
desktop application testing,Testing & QA,2,2,1,1,Desktop Application Testing|kiểm thử Desktop App
notebook,Tool & Platform,2,2,0,2,Notebooks|notebook
modem,IT Support & Hardware,2,1,2,0,modem
drift,AI/ML/Data,2,2,2,0,drift|Drift
data consistency,Engineering Concepts & Methodologies,2,2,2,0,tính nhất quán của dữ liệu|data consistency
hệ thống báo cáo,Data Engineering & Analytics,2,2,1,1,hệ thống báo cáo|hệ thống báo cáo phục vụ vận hành
sales and marketing processes,Domain Knowledge,2,2,1,1,Sales and Marketing processes|Sales & Distribution processes
japanese si projects,Domain Knowledge,2,2,1,1,Japanese software projects|Japanese SI projects
mô tả đặc tả chức năng,Engineering Concepts & Methodologies,2,2,2,0,tài liệu đặc tả chức năng|mô tả/đặc tả chức năng
channel,Engineering Concepts & Methodologies,2,1,2,0,channel
tms,Tool & Platform,2,1,2,0,TMS
jtag,Embedded & Firmware,2,1,2,0,JTAG
profiling ứng dụng,Engineering Concepts & Methodologies,2,2,2,0,profiling hiệu năng ứng dụng|profiling ứng dụng
tối ưu cpu memory,Engineering Concepts & Methodologies,2,2,2,0,tối ưu CPU & memory|tối ưu CPU/Memory
test các dòng game puzzle,Domain Knowledge,2,2,0,2,test các thể loại casual/puzzle/instant game|test các dòng game Puzzle
game iaa,Design & UX,2,2,0,2,UI/UX trong game|game IAA
geo location,Domain Knowledge,2,2,0,2,geo- location technologies|Geo-location
google gemini,Tool & Platform,2,1,1,1,Google Gemini
công trường,Domain Knowledge,2,2,0,2,công trường|khu vực công
